player,tm,Wins,Loss,Games Played,Minutes Played,Total Points,PPG,Total Assists,APG,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,RPG,Total Steals,STLpg,Blocks,BLKpg,Personal Fouls,Turnovers
Jayson Tatum,BOS,34,15,49,1779.51,1301,26.55,277,5.65,968,437,45.14,488,174,35.66,316,253,80.06,424,8.65,60,1.22,26,0.53,108,140
Anthony Davis,LAL,24,18,42,1439.52,1081,25.74,141,3.36,757,400,52.84,94,28,29.79,321,253,78.82,498,11.86,54,1.29,90,2.14,82,93
Derrick White,BOS,35,14,49,1647.15,789,16.1,203,4.14,614,271,44.14,432,164,37.96,101,83,82.18,206,4.2,43,0.88,57,1.16,93,76
Jrue Holiday,BOS,31,13,44,1330.46,483,10.98,162,3.68,402,176,43.78,225,77,34.22,60,54,90.0,194,4.41,43,0.98,19,0.43,69,59
Miles McBride,NYK,28,13,41,953.91,375,9.15,112,2.73,322,136,42.24,188,69,36.7,41,34,82.93,98,2.39,35,0.85,7,0.17,59,29
Rui Hachimura,LAL,25,17,42,1345.51,537,12.79,64,1.52,405,204,50.37,161,68,42.24,79,61,77.22,214,5.1,35,0.83,21,0.5,78,38
Jaylen Brown,BOS,31,14,45,1591.96,1043,23.18,215,4.78,837,387,46.24,272,89,32.72,242,180,74.38,274,6.09,53,1.18,12,0.27,117,118
Rudy Gobert,MIN,29,23,52,1730.27,557,10.71,95,1.83,334,217,64.97,0,0,,182,123,67.58,540,10.38,37,0.71,81,1.56,125,70
Julius Randle,MIN,27,21,48,1563.54,905,18.85,214,4.46,673,316,46.95,221,71,32.13,249,202,81.12,344,7.17,35,0.73,11,0.23,122,136
Al Horford,BOS,27,13,40,1048.13,314,7.85,77,1.92,282,115,40.78,200,70,35.0,16,14,87.5,210,5.25,24,0.6,34,0.85,57,29
Jalen Brunson,NYK,33,17,50,1763.69,1304,26.08,376,7.52,922,451,48.92,292,116,39.73,352,286,81.25,145,2.9,48,0.96,4,0.08,109,121
Anthony Edwards,MIN,29,22,51,1873.16,1388,27.22,231,4.53,1045,466,44.59,504,212,42.06,289,244,84.43,295,5.78,58,1.14,35,0.69,101,176
Karl-Anthony Towns,NYK,32,14,46,1596.99,1119,24.33,153,3.33,759,404,53.23,213,90,42.25,263,221,84.03,626,13.61,44,0.96,37,0.8,160,115
Austin Reaves,LAL,28,16,44,1525.12,816,18.55,268,6.09,603,268,44.44,310,112,36.13,197,168,85.28,188,4.27,50,1.14,8,0.18,86,108
Josh Hart,NYK,33,17,50,1878.7,715,14.3,289,5.78,495,276,55.76,166,57,34.34,130,106,81.54,483,9.66,77,1.54,18,0.36,129,95
Nickeil Alexander-Walker,MIN,29,23,52,1242.12,448,8.62,125,2.4,367,161,43.87,222,88,39.64,52,38,73.08,151,2.9,31,0.6,15,0.29,88,63
LeBron James,LAL,28,18,46,1594.86,1125,24.46,416,9.04,838,432,51.55,256,100,39.06,210,161,76.67,358,7.78,40,0.87,24,0.52,64,174
Jaxson Hayes,LAL,18,10,28,487.12,155,5.54,27,0.96,92,61,66.3,2,0,0.0,44,33,75.0,113,4.04,15,0.54,26,0.93,60,20
Mikal Bridges,NYK,34,17,51,1955.25,928,18.2,166,3.25,769,380,49.41,339,122,35.99,62,46,74.19,158,3.1,50,0.98,27,0.53,74,80
Cameron Payne,NYK,32,13,45,641.77,322,7.16,114,2.53,267,112,41.95,167,65,38.92,37,33,89.19,64,1.42,27,0.6,11,0.24,74,29
Naz Reid,MIN,28,23,51,1324.16,714,14.0,97,1.9,548,265,48.36,271,113,41.7,89,71,79.78,267,5.24,40,0.78,44,0.86,118,61
Jericho Sims,NYK,25,14,39,421.69,64,1.64,22,0.56,46,28,60.87,0,0,,13,8,61.54,129,3.31,8,0.21,10,0.26,46,21
Luke Kornet,BOS,30,16,46,778.78,236,5.13,72,1.57,147,95,64.63,0,0,,61,46,75.41,227,4.93,23,0.5,43,0.93,67,19
Sam Hauser,BOS,29,14,43,855.04,322,7.49,43,1.0,262,115,43.89,226,90,39.82,2,2,100.0,126,2.93,29,0.67,8,0.19,46,16
Donte DiVincenzo,MIN,21,19,40,1057.17,440,11.0,144,3.6,373,148,39.68,279,103,36.92,50,41,82.0,147,3.68,48,1.2,7,0.18,62,71
D'Angelo Russell,LAL,22,21,43,1105.4,558,12.98,221,5.14,471,189,40.13,255,85,33.33,109,95,87.16,120,2.79,42,0.98,17,0.4,82,80
Dalton Knecht,LAL,29,19,48,993.97,452,9.42,42,0.88,353,164,46.46,215,77,35.81,57,47,82.46,147,3.06,16,0.33,3,0.06,63,24
